Sampling Design ,Estuary,Station,Temperature,Salinity,Dissolved Oxygen,Tide Height,,,
SRD,Scoudouc,1,21.1,25.22,7.21,1.30,,,
SRD,Scoudouc,2,21.3,27.14,6.87,1.30,,,
SRD,Scoudouc,3,20.9,28.4,6.97,1.30,,,
SRD,Scoudouc,4,21,27.46,7.96,1.30,,,
SRD,Scoudouc,5,21.9,27.52,6.85,1.30,,,
SRD,Scoudouc,6,20.5,29.35,7.51,1.25,,,
CAMP,Scoudouc,1,20.7,28.42,8.35,1.30,,,
CAMP,Scoudouc,2,21.7,24.26,8.21,1.30,,,
CAMP,Scoudouc,3,21.7,27.03,8.82,1.30,,,
CAMP,Scoudouc,4,21.4,30.03,9.11,1.20,,,
CAMP,Scoudouc,5,23.2,24.36,10.11,1.15,,,
CAMP,Scoudouc,6,23.5,27.45,10.36,1.00,,,
SRD,Shediac,1,24.8,19.69,4.39,1.4,,,
SRD,Shediac,2,24.7,23.35,6.98,1.4,,,
SRD,Shediac,3,25.3,24.62,8.42,1.2,,,
SRD,Shediac,4,25.5,24.85,8.03,1.1,,,
SRD,Shediac,5,26.2,27.17,9.12,1,,,
SRD,Shediac,6,25.9,27.72,7.89,0.8,,,
CAMP,Shediac,1,24.4,27.88,7.29,1.4,,,
CAMP,Shediac,2,25.1,28.24,6.91,1.4,,,
CAMP,Shediac,3,24.6,27.30,6.47,1.4,,,
CAMP ,Shediac,4,25.1,27.42,5.60,1.4,,,
CAMP,Shediac,5,25.6,28.17,7.86,1.3,,,
CAMP,Shediac,6,26,27.82,8.35,1.00,,,
SRD,Souris,1,21.1,10.2,8.82,1.10,,,
SRD,Souris,2,21.14,21.9,8.26,0.85,,,
SRD,Souris,3,21.72,25.7,9.25,0.80,,,
SRD,Souris,4,21.28,26.73,9.58,0.70,,,
SRD,Souris,5,21.41,27.36,9.5,0.70,,,
SRD,Souris,6,20.95,28.5,7.86,1.35,,,
CAMP,Souris,2,24,22.1,7.41,0.90,,,
CAMP,Souris,3,22.45,28.23,8.66,0.85,,,
CAMP,Souris,4,25.64,24.95,10.8,0.80,,,
CAMP,Souris,5,23.9,26.86,8.05,0.75,,,
CAMP,Souris,6,20.59,27.04,8.04,1.20,,,
SRD,Cocagne,1,20.5,23.24,7.91,0.8,,,
SRD,Cocagne,2,21.3,26.22,7.92,0.6,,,
SRD,Cocagne,3,21.8,25.87,8.18,0.45,,,
SRD,Cocagne,4,23.4,23.63,7.93,0.3,,,
SRD,Cocagne,5,27.2,29.76,11.13,0.1,,,
SRD,Cocagne,6,25.8,27.75,7.21,0.15,,,
CAMP,Cocagne,1,20.4,30.14,8.9,1.1,,,
CAMP,Cocagne,2,21.1,29,7.83,1.1,,,
CAMP,Cocagne,3,20.6,29.2,8.44,1,,,
CAMP,Cocagne,4,19.9,29.96,8.69,0.95,,,
CAMP,Cocagne,5,21.8,27.74,8.59,0.9,,,
CAMP,Cocagne,6,20.9,27.85,8.43,0.8,,,
SRD,Summerside,1,21.96,22.79,8.76,1.70,,,
SRD,Summerside,2,23.08,26.07,8.26,1.90,,,
SRD,Summerside,3,22.97,25.11,9.4,1.90,,,
SRD,Summerside,4,23.57,26.66,8.19,1.85,,,
SRD,Summerside,5,23.74,24.46,8.33,1.70,,,
CAMP,Summerside,1,21.34,27.83,8.22,1.60,,,
CAMP ,Summerside,2,22.22,25,7.77,1.80,,,
CAMP,Summerside,3,22.06,27.09,8.86,1.90,,,
CAMP,Summerside,4,22.36,26.13,8.65,1.90,,,
CAMP,Summerside,5,23.59,26.3,8.7,1.90,,,
CAMP,Summerside,6,23.07,23.1,8.88,1.90,,,
SRD,Brudenell,1,22.9,23.96,9.43,1.10,,,
SRD,Brudenell,2,22.8,24.86,9.40,1.30,,,
SRD,Brudenell,3,21.7,29.24,7.62,1.40,,,
SRD,Brudenell,4,20.6,28.16,7.94,1.50,,,
SRD,Brudenell,5,20.7,29.22,9.16,1.50,,,
SRD,Brudenell,6,21.4,28.27,9.01,1.30,,,
CAMP,Brudenell,1,20.36,29.15,10.68,1.30,,,
CAMP,Brudenell,2,21.92,29.36,10.17,1.40,,,
CAMP,Brudenell,3,21.71,29.35,10.23,1.55,,,
CAMP,Brudenell,4,24.54,29.31,9.33,1.60,,,
CAMP,Brudenell,5,22.91,29.31,9.86,1.60,,,
CAMP,Brudenell,6,22.24,29.73,9.29,1.60,,,
SRD,Richibuctou,1,19.9,25.41,7.22,0.40,,,
SRD,Richibuctou,2,19.9,28.56,7.83,0.40,,,
SRD,Richibuctou,3,20.1,28.51,8.35,0.30,,,
SRD,Richibuctou,4,19.9,27.96,8.46,0.20,,,
SRD,Richibuctou,5,23.1,23.66,7.69,0.20,,,
SRD,Richibuctou,6,22.6,24.35,8.97,0.20,,,
CAMP,Richibuctou,1,19.9,25.77,7.27,0.50,,,
CAMP,Richibuctou,2,19.5,26.93,7.97,0.50,,,
CAMP,Richibuctou,3,19,28.8,8.26,0.40,,,
CAMP,Richibuctou,4,20.9,23.29,8.18,0.30,,,
CAMP,Richibuctou,5,20.3,26.94,9.61,0.30,,,
CAMP,Richibuctou,6,19.9,28.3,10.54,0.30,,,
SRD,Bouctouche,1,20.5,17.86,7.12,1,,,
SRD,Bouctouche,2,20.8,18.91,7.15,0.9,,,
SRD,Bouctouche,3,21.2,19.62,8.09,0.9,,,
SRD,Bouctouche,4,20.6,19.68,8.11,0.9,,,
SRD,Bouctouche,5,20.9,21.99,8.82,0.5,,,
SRD,Bouctouche,6,22.0,26.26,7.99,0.4,,,
CAMP,Bouctouche,1,20.2,23.83,7.81,0.9,,,
CAMP,Bouctouche,2,21.4,23.82,8.40,0.8,,,
CAMP,Bouctouche,3,20.5,21.43,8.20,0.6,,,
CAMP,Bouctouche,4,21.8,23.54,8.73,0.5,,,
CAMP,Bouctouche,5,22.3,26.15,8.67,0.4,,,
CAMP,Bouctouche,6,20.6,27.06,8.53,1.00,,,
SRD,St. Louis,1,20.6,15.85,8.56,0.2,,,
SRD,St. Louis,2,20.3,18.60,8.49,0.2,,,
SRD,St. Louis,3,20.1,22.48,8.51,0.4,,,
SRD,St. Louis,4,20.1,21.98,8.33,0.3,,,
SRD,St. Louis,5,18.6,26.18,8.71,0.60,,,
SRD,St. Louis,6,17.4,28.55,8.57,0.70,,,
CAMP,St. Louis,1,18.4,27.15,8.72,0.70,,,
CAMP,St. Louis,2,20.7,19.79,8.56,0.10,,,
CAMP,St. Louis,3,16.3,27.38,6.93,0.90,,,
CAMP,St. Louis,4,18.5,23.72,6.97,0.80,,,
CAMP,St. Louis,5,18.7,22.05,7.06,0.70,,,
CAMP,St. Louis,6,17.7,22.53,7.03,0.50,,,
SRD,Trout,1,22.3,18.45,7.50,0.6,,,
SRD,Trout,2,18.8,16.13,10.99,0.35,,,
SRD,Trout,3,19.5,20.55,8.32,0.5,,,
SRD,Trout,4,18.35,25.54,8.34,0.55,,,
SRD,Trout,5,18.03,24.2,10.13,0.6,,,
SRD,Trout ,6,17.03,26.72,7.75,0.7,,,
CAMP,Trout ,1,20.2,18.35,7.60,0.6,,,
CAMP,Trout ,2,23.1,18.71,9.33,0.5,,,
CAMP,Trout ,3,23.84,18.36,10.08,0.3,,,
CAMP,Trout ,4,21.83,19.89,9.61,0.5,,,
CAMP,Trout ,5,23.32,19.83,9.74,0.4,,,
CAMP,Trout ,6,19.27,27.11,11.2,0.5,,,
