Sampling Design,Estuary,Station,BSS(A),3SS(A),GAST,GASP,4SS(A),4SS(YOY),9SS(A),9SS(YOY),MUM(A),FUND(YOY),SSH(A),SSH(YOY),GSH(A),GSH(YOY),SILV(A),SILV(YOY),SFL(A),WFL(A),FLOU(YOY),WNFL(A),KIL(A),SBA(A),EEL(A),PIP(A),CUN(A),TOM(A),RCR(A),RCR(YOY),GCR(A),GCR(YOY),MCR(A),MCR(YOY),SMEL(YOY),PER(A),GRUB(A),,,,
SRD,Scoudouc,1,5,0,0,7,16,0,0,0,8,0,324,433,13,0,0,27,2,2,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,,,,
SRD,Scoudouc,2,2,0,0,0,7,0,0,0,57,1,571,1147,1,0,0,766,7,0,8,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
SRD,Scoudouc,3,6,1,0,1,26,0,0,0,122,8,149,354,13,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,,,,
SRD,Scoudouc,4,9,0,0,1,77,1,0,0,108,0,151,112,0,0,10,1227,1,0,3,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,,,,
SRD,Scoudouc,5,2,0,0,0,1,0,0,0,293,132,0,0,0,0,0,80,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,,,,
SRD,Scoudouc,6,1,0,0,0,0,0,0,0,59,0,28,1,14,0,1,1624,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,,,,
CAMP,Scoudouc,1,3,1,0,0,15,0,0,0,103,0,896,206,3,0,0,53,1,4,2,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0,,,,
CAMP,Scoudouc,2,2,0,0,5,27,6,0,0,70,0,132,13,2,0,1,257,7,5,6,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,,,,
CAMP,Scoudouc,3,159,29,0,0,51,1,6,0,313,0,22,4,6,0,0,356,2,2,3,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,,,,
CAMP,Scoudouc,4,34,3,0,0,11,0,0,0,207,0,171,316,59,2,0,463,10,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,,,,
CAMP,Scoudouc,5,1,0,0,3,182,0,0,0,1200,0,165,40,202,0,145,10,1,3,2,0,0,0,0,0,0,0,0,0,53,0,2,0,0,0,0,,,,
CAMP,Scoudouc,6,1,2,0,0,277,1,0,0,107,1,209,43,1,0,0,132,3,1,1,0,0,0,0,0,0,0,0,0,79,0,1,0,0,0,0,,,,
